"","PWGTP","AGEP","PUMA","ENG_label","LANP_label"
"9007",111,29,"00307","Very well","Samoan"
"9008",18,75,"00100","Very well","Japanese"
"9009",5,61,"00100","Not well","Japanese"
"9010",27,24,"00100","Very well","Hawaiian"
"9011",13,51,"00200","Very well","Other English-based Creole languages"
"9012",14,53,"00200","Very well","Tagalog"
"9013",8,91,"00303","Well","Japanese"
"9014",64,34,"00301","Very well","Spanish"
"9015",34,26,"00301","Not well","Spanish"
"9016",44,10,"00301","Very well","Spanish"
"9017",45,9,"00301","Very well","Spanish"
"9018",18,91,"00304","Very well","Japanese"
"9019",26,56,"00301","Very well","Spanish"
"9020",15,63,"00304","Very well","Cantonese"
"9021",14,59,"00304","Very well","Cantonese"
"9022",16,81,"00305","Not well","Cantonese"
"9023",23,27,"00306","Very well","Spanish"
"9024",10,15,"00302","Very well","Hawaiian"
"9025",17,31,"00306","Very well","Korean"
"9026",25,27,"00306","Well","Korean"
"9027",20,62,"00308","Very well","Tagalog"
"9028",22,66,"00308","Very well","Ilocano"
"9029",29,43,"00308","Very well","Ilocano"
"9030",30,32,"00308","Well","Ilocano"
"9031",24,66,"00308","Not well","Ilocano"
"9032",24,62,"00308","Not well","Ilocano"
"9033",27,86,"00308","Not well","Ilocano"
"9034",21,46,"00306","Very well","Other Eastern Malayo-Polynesian languages"
"9035",15,38,"00302","Very well","Spanish"
"9036",16,41,"00302","Very well","Croatian"
"9037",15,46,"00302","Well","Spanish"
"9038",6,74,"00307","Well","Ilocano"
"9039",9,35,"00307","Very well","Ilocano"
"9040",33,65,"00308","Well","Ilocano"
"9041",33,69,"00308","Well","Ilocano"
"9042",15,87,"00303","Very well","Japanese"
"9043",6,37,"00100","Very well","Hawaiian"
"9044",28,35,"00303","Very well","Chinese"
"9045",55,44,"00305","Very well","Tagalog"
"9046",73,43,"00305","Very well","Cebuano"
"9047",26,69,"00304","Very well","Chinese"
"9048",19,57,"00100","Well","Ilocano"
"9049",15,52,"00100","Very well","Ilocano"
"9050",28,32,"00100","Very well","Ilocano"
"9051",29,57,"00100","Very well","Spanish"
"9052",5,62,"00200","Very well","Hindi"
"9053",14,39,"00305","Very well","Tagalog"
"9054",14,62,"00305","Well","Tagalog"
"9055",16,66,"00305","Well","Tagalog"
"9056",22,40,"00305","Well","Cebuano"
"9057",17,37,"00305","Well","Cebuano"
"9058",4,69,"00301","Not well","Filipino"
"9059",5,64,"00301","Not well","Filipino"
"9060",16,45,"00305","Well","Vietnamese"
"9061",23,25,"00305","Very well","Vietnamese"
"9062",3,51,"00308","Very well","Filipino"
"9063",5,29,"00308","Not well","Filipino"
"9064",116,38,"00200","Very well","Spanish"
"9065",13,62,"00305","Well","Cebuano"
"9066",13,62,"00305","Well","Cebuano"
"9067",5,25,"00200","Very well","Hawaiian"
"9068",25,65,"00305","Not well","Cantonese"
"9069",45,27,"00305","Well","Cantonese"
"9070",45,25,"00305","Well","Cantonese"
"9071",4,56,"00200","Well","Japanese"
"9072",16,42,"00305","Very well","Cantonese"
"9073",21,44,"00305","Very well","Korean"
"9074",19,52,"00200","Not well","Spanish"
"9075",39,59,"00200","Not well","Spanish"
"9076",15,54,"00303","Very well","Japanese"
"9077",15,81,"00303","Very well","Japanese"
"9078",7,42,"00100","Very well","Hawaiian"
"9079",7,39,"00100","Very well","Hawaiian"
"9080",10,20,"00100","Very well","Hawaiian"
"9081",7,15,"00100","Very well","Hawaiian"
"9082",4,13,"00100","Very well","Hawaiian"
"9083",3,9,"00100","Very well","Hawaiian"
"9084",3,37,"00308","Very well","Hawaiian"
"9085",3,42,"00308","Very well","Hawaiian"
"9086",6,19,"00308","Very well","Hawaiian"
"9087",4,16,"00308","Very well","Hawaiian"
"9088",5,13,"00308","Very well","Hawaiian"
"9089",4,11,"00308","Well","Hawaiian"
"9090",4,5,"00308","Well","Hawaiian"
"9091",23,54,"00304","Not well","Korean"
"9092",17,85,"00304","Well","Chinese"
"9093",14,69,"00304","Very well","Chinese"
"9094",21,76,"00200","Very well","Spanish"
"9095",49,78,"00306","Well","Japanese"
"9096",5,63,"00200","Well","Other English-based Creole languages"
"9097",12,61,"00200","Well","Other English-based Creole languages"
"9098",87,84,"00304","Well","Japanese"
"9099",87,71,"00304","Not well","Japanese"
"9100",20,60,"00306","Very well","Spanish"
"9101",10,21,"00100","Very well","Hawaiian"
"9102",15,67,"00200","Very well","Hindi"
"9103",11,95,"00100","Well","Ilocano"
"9104",5,62,"00100","Very well","Tagalog"
"9105",4,61,"00100","Very well","Tagalog"
"9106",91,49,"00308","Very well","Korean"
"9107",84,47,"00308","Not well","Korean"
"9108",48,65,"00308","Very well","French"
"9109",5,27,"00200","Very well","Hawaiian"
"9110",7,27,"00200","Very well","Hawaiian"
"9111",5,7,"00200","Very well","Hawaiian"
"9112",4,7,"00200","Very well","Hawaiian"
"9113",8,59,"00302","Well","German"
"9114",26,35,"00304","Very well","Cantonese"
"9115",30,69,"00304","Not well","Cantonese"
"9116",27,66,"00304","Not at all","Cantonese"
"9117",19,10,"00305","Well","Samoan"
