"","PWGTP","AGEP","PUMA","ENG_label","LANP_label"
"1",44,54,"00304","Well","Marshallese"
"2",16,65,"00303","Very well","Cantonese"
"3",17,63,"00303","Very well","Cantonese"
"4",8,62,"00306","Well","Chinese"
"5",9,57,"00306","Not well","Chinese"
"6",13,30,"00306","Not well","Chinese"
"7",27,62,"00305","Well","Tagalog"
"8",63,50,"00305","Very well","Tagalog"
"9",10,52,"00301","Very well","Hawaiian"
"10",11,40,"00301","Very well","Hawaiian"
"11",15,68,"00303","Very well","Japanese"
"12",5,44,"00308","Very well","Spanish"
"13",4,14,"00308","Very well","Spanish"
"14",35,40,"00200","Very well","Other Eastern Malayo-Polynesian languages"
"15",13,57,"00306","Very well","Tagalog"
"16",82,47,"00200","Very well","Italian"
"17",14,25,"00306","Very well","Tagalog"
"18",33,35,"00308","Very well","Spanish"
"19",4,46,"00302","Very well","Hawaiian"
"20",24,85,"00301","Very well","Portuguese"
"21",24,70,"00306","Very well","Filipino"
"22",24,62,"00306","Not well","Filipino"
"23",57,42,"00100","Not well","Filipino"
"24",80,17,"00100","Very well","Filipino"
"25",67,13,"00100","Very well","Filipino"
"26",66,6,"00100","Very well","Filipino"
"27",9,86,"00304","Very well","Japanese"
"28",14,56,"00304","Very well","Japanese"
"29",5,35,"00200","Very well","Portuguese"
"30",7,59,"00200","Very well","Portuguese"
"31",11,18,"00200","Very well","Portuguese"
"32",27,65,"00304","Very well","Tagalog"
"33",33,54,"00308","Not well","Korean"
"34",30,55,"00308","Not well","Korean"
"35",16,48,"00304","Well","Japanese"
"36",35,64,"00100","Very well","Hawaiian"
"37",11,44,"00307","Well","Turkish"
"38",19,21,"00307","Not well","German"
"39",13,58,"00303","Not well","Japanese"
"40",15,23,"00303","Well","Japanese"
"41",42,61,"00100","Very well","Spanish"
"42",45,50,"00100","Very well","Spanish"
"43",40,48,"00303","Not well","Other Eastern Malayo-Polynesian languages"
"44",60,50,"00303","Well","Other Eastern Malayo-Polynesian languages"
"45",52,40,"00303","Not at all","Other Eastern Malayo-Polynesian languages"
"46",16,55,"00307","Very well","Tagalog"
"47",9,57,"00303","Very well","Hawaiian"
"48",31,48,"00307","Very well","Spanish"
"49",14,77,"00302","Not well","Japanese"
"50",15,35,"00200","Very well","Japanese"
"51",16,35,"00200","Well","Japanese"
"52",8,53,"00307","Well","Ilocano"
"53",7,49,"00307","Very well","Ilocano"
"54",10,65,"00305","Well","Cantonese"
"55",15,70,"00305","Not well","Cantonese"
"56",13,63,"00305","Not well","Cantonese"
"57",14,53,"00305","Very well","Mandarin"
"58",24,33,"00304","Very well","Farsi"
"59",20,47,"00308","Well","Spanish"
"60",51,20,"00308","Well","Spanish"
"61",4,41,"00308","Very well","Other English-based Creole languages"
"62",19,55,"00305","Well","Cebuano"
"63",22,23,"00305","Well","Japanese"
"64",15,62,"00307","Very well","Japanese"
"65",10,32,"00304","Not at all","Japanese"
"66",13,30,"00304","Not at all","Japanese"
"67",7,40,"00100","Very well","Spanish"
"68",20,53,"00308","Very well","Japanese"
"69",25,17,"00308","Very well","Japanese"
"70",15,63,"00100","Very well","Hawaiian"
"71",15,62,"00100","Very well","Hawaiian"
"72",6,22,"00306","Very well","Korean"
"73",15,38,"00307","Well","Ilocano"
"74",17,30,"00307","Well","Ilocano"
"75",18,61,"00200","Very well","Other English-based Creole languages"
"76",18,60,"00200","Very well","Other English-based Creole languages"
"77",13,73,"00308","Very well","Thai"
"78",13,67,"00308","Very well","Thai"
"79",32,64,"00100","Very well","Tagalog"
"80",33,54,"00100","Very well","Ilocano"
"81",37,42,"00100","Not well","Spanish"
"82",33,32,"00100","Well","Spanish"
"83",27,9,"00100","Very well","Spanish"
"84",41,65,"00307","Very well","Tagalog"
"85",38,53,"00307","Very well","Tagalog"
"86",44,50,"00307","Very well","Tagalog"
"87",41,45,"00307","Very well","Tagalog"
"88",40,17,"00307","Very well","Tagalog"
"89",40,15,"00307","Very well","Tagalog"
"90",3,17,"00305","Very well","Hawaiian"
"91",29,54,"00304","Well","Chinese"
"92",29,56,"00304","Very well","Chinese"
"93",37,19,"00304","Very well","Chinese"
"94",29,12,"00304","Very well","Chinese"
"95",9,56,"00307","Very well","Japanese"
"96",6,41,"00100","Not well","Japanese"
"97",12,58,"00308","Very well","Tagalog"
"98",13,72,"00308","Well","Tagalog"
"99",16,87,"00200","Not well","Japanese"
"100",13,46,"00306","Not at all","Ilocano"
"101",17,88,"00306","Very well","Ilocano"
"102",18,84,"00306","Not well","Ilocano"
"103",21,54,"00305","Very well","Japanese"
"104",3,64,"00308","Very well","Spanish"
"105",16,44,"00308","Very well","Tagalog"
"106",22,46,"00308","Well","Tagalog"
"107",22,41,"00308","Very well","Tagalog"
"108",18,39,"00308","Well","Tagalog"
"109",22,38,"00308","Very well","Tagalog"
"110",19,34,"00308","Very well","Tagalog"
"111",19,75,"00308","Well","Tagalog"
"112",82,34,"00306","Well","Hawaiian"
"113",39,31,"00306","Well","Hawaiian"
"114",49,10,"00306","Well","Hawaiian"
"115",45,9,"00306","Well","Hawaiian"
"116",29,50,"00100","Very well","Filipino"
"117",35,51,"00100","Very well","Filipino"
"118",57,27,"00100","Very well","Filipino"
"119",34,5,"00100","Well","Japanese"
"120",25,29,"00100","Well","Japanese"
"121",20,96,"00304","Very well","Japanese"
"122",55,52,"00305","Well","Samoan"
"123",4,78,"00200","Very well","Hawaiian"
"124",22,55,"00200","Very well","German"
"125",18,88,"00305","Not well","Cantonese"
"126",18,81,"00305","Not at all","Cantonese"
"127",15,89,"00200","Very well","Japanese"
"128",24,30,"00200","Very well","Spanish"
"129",19,29,"00200","Very well","Spanish"
"130",54,59,"00200","Very well","Spanish"
"131",25,53,"00304","Very well","Mandarin"
"132",13,73,"00306","Very well","Japanese"
"133",25,96,"00307","Well","Japanese"
"134",8,40,"00100","Very well","Chinese"
"135",5,12,"00100","Very well","Chinese"
"136",13,50,"00304","Well","Italian"
"137",25,32,"00307","Very well","Tagalog"
"138",5,13,"00100","Very well","Hawaiian"
"139",5,11,"00100","Very well","Hawaiian"
"140",14,77,"00304","Not well","Korean"
"141",15,56,"00305","Very well","Hawaiian"
"142",22,50,"00200","Very well","Ilocano"
"143",19,80,"00303","Very well","Swedish"
"144",13,45,"00307","Very well","Chinese"
"145",40,67,"00305","Not well","Korean"
"146",6,7,"00306","Very well","Italian"
"147",38,56,"00100","Very well","Ilocano"
"148",56,18,"00100","Not well","Spanish"
"149",6,90,"00301","Very well","Japanese"
"150",28,50,"00308","Very well","Cebuano"
"151",21,32,"00306","Very well","Nilo-Saharan languages"
"152",15,29,"00306","Very well","Cantonese"
"153",26,83,"00305","Very well","Japanese"
"154",8,42,"00307","Well","Ilocano"
"155",7,47,"00307","Well","Ilocano"
"156",40,55,"00307","Very well","Other English-based Creole languages"
"157",16,55,"00307","Well","Ilocano"
"158",16,57,"00307","Well","Ilocano"
"159",18,23,"00307","Very well","Tagalog"
"160",18,81,"00307","Not well","Ilocano"
"161",14,79,"00303","Not well","Cantonese"
"162",15,63,"00305","Very well","Tagalog"
"163",21,37,"00305","Very well","Tagalog"
"164",13,81,"00302","Well","Japanese"
"165",11,70,"00100","Very well","German"
"166",33,62,"00304","Well","Korean"
"167",13,59,"00305","Not well","Chinese"
"168",14,54,"00305","Not well","Chinese"
"169",15,29,"00305","Well","Chinese"
"170",28,24,"00301","Very well","French"
"171",19,5,"00301","Very well","Tongan"
"172",21,40,"00307","Very well","Tagalog"
"173",38,39,"00301","Very well","Tongan"
"174",37,47,"00301","Very well","Tongan"
"175",16,63,"00302","Well","Hawaiian"
"176",15,61,"00302","Not well","Korean"
"177",9,37,"00301","Very well","Other English-based Creole languages"
"178",17,28,"00306","Very well","Spanish"
"179",40,24,"00306","Very well","Spanish"
"180",10,73,"00200","Very well","Japanese"
"181",15,82,"00306","Very well","Japanese"
"182",21,43,"00306","Well","Japanese"
"183",18,89,"00306","Not well","Japanese"
"184",4,73,"00100","Very well","Hawaiian"
"185",9,42,"00100","Very well","Hawaiian"
"186",9,82,"00301","Well","Ilocano"
"187",9,74,"00301","Well","Ilocano"
"188",8,15,"00301","Very well","Ilocano"
"189",8,13,"00301","Well","Ilocano"
"190",10,18,"00304","Very well","Japanese"
"191",17,67,"00305","Very well","Kannada"
"192",15,74,"00305","Very well","Spanish"
"193",27,73,"00308","Very well","Tagalog"
"194",27,70,"00308","Very well","Tagalog"
"195",37,43,"00308","Not well","Tagalog"
"196",32,44,"00308","Well","Tagalog"
"197",26,34,"00307","Very well","Tagalog"
"198",26,26,"00307","Very well","Tagalog"
"199",17,52,"00304","Very well","Korean"
"200",14,48,"00304","Well","Korean"
"201",21,9,"00304","Not well","Korean"
"202",11,33,"00301","Very well","Spanish"
"203",43,62,"00302","Very well","Chinese"
"204",40,49,"00302","Well","Chinese"
"205",18,47,"00305","Very well","Samoan"
"206",19,48,"00305","Not well","Samoan"
"207",23,22,"00305","Well","Samoan"
"208",22,8,"00305","Well","Samoan"
"209",29,83,"00305","Not well","Samoan"
"210",22,7,"00305","Well","Samoan"
"211",18,62,"00306","Not well","Korean"
"212",14,72,"00304","Not at all","Chinese"
"213",14,71,"00304","Not at all","Chinese"
"214",17,15,"00304","Well","Chinese"
"215",14,13,"00304","Very well","Chinese"
"216",20,10,"00304","Not well","Chinese"
"217",53,27,"00307","Very well","Tongan"
"218",51,12,"00307","Very well","Tongan"
"219",51,7,"00307","Very well","Tongan"
"220",50,5,"00307","Very well","Tongan"
"221",48,51,"00307","Not at all","Tongan"
"222",20,12,"00306","Very well","Ilocano"
"223",22,54,"00100","Very well","Hawaiian"
"224",30,21,"00100","Very well","Lao"
"225",36,22,"00100","Very well","Tagalog"
"226",17,84,"00302","Very well","Hawaiian"
"227",16,64,"00302","Very well","Hawaiian"
"228",6,26,"00100","Very well","Hawaiian"
"229",26,45,"00200","Well","Ilocano"
"230",30,46,"00200","Well","Ilocano"
"231",33,25,"00200","Very well","Ilocano"
"232",34,23,"00200","Very well","Ilocano"
"233",29,17,"00200","Very well","Ilocano"
"234",29,16,"00200","Very well","Ilocano"
"235",32,13,"00200","Very well","Ilocano"
"236",38,24,"00200","Not well","Ilocano"
"237",18,58,"00303","Not well","Japanese"
"238",10,64,"00307","Very well","Spanish"
"239",10,61,"00307","Very well","Spanish"
"240",26,67,"00200","Very well","Chinese"
"241",26,62,"00200","Not well","Chinese"
"242",34,32,"00200","Very well","Chinese"
"243",10,29,"00301","Very well","Hawaiian"
"244",8,30,"00301","Well","Samoan"
"245",15,35,"00306","Very well","Spanish"
"246",5,55,"00100","Very well","Hawaiian"
"247",6,30,"00100","Very well","Hawaiian"
"248",5,20,"00100","Very well","Hawaiian"
"249",2,18,"00100","Very well","Hawaiian"
"250",5,12,"00100","Very well","Hawaiian"
"251",15,54,"00303","Very well","Vietnamese"
"252",15,53,"00303","Very well","Vietnamese"
"253",49,45,"00308","Very well","Samoan"
"254",57,44,"00308","Very well","Samoan"
"255",20,78,"00308","Very well","Serbian"
"256",25,50,"00303","Well","Korean"
"257",24,55,"00303","Not well","Korean"
"258",17,47,"00302","Very well","German"
"259",10,51,"00305","Very well","Filipino"
"260",11,48,"00305","Not well","Tagalog"
"261",30,49,"00306","Not well","Spanish"
"262",37,19,"00306","Very well","Spanish"
"263",19,16,"00306","Very well","Spanish"
"264",43,73,"00305","Very well","Japanese"
"265",14,50,"00301","Very well","Other English-based Creole languages"
"266",7,49,"00100","Very well","Cebuano"
"267",5,31,"00100","Very well","Cebuano"
"268",24,85,"00306","Well","Japanese"
"269",7,32,"00304","Well","Hindi"
"270",16,50,"00304","Not well","Vietnamese"
"271",4,39,"00308","Well","Hawaiian"
"272",3,40,"00308","Very well","Japanese"
"273",4,13,"00308","Well","Chinese"
"274",4,46,"00301","Very well","Other Philippine languages"
"275",5,29,"00301","Not well","Other Philippine languages"
"276",8,8,"00301","Very well","Other Philippine languages"
"277",9,5,"00301","Very well","Other Philippine languages"
"278",31,62,"00304","Very well","Korean"
"279",12,80,"00306","Not well","Japanese"
"280",12,81,"00306","Not well","Japanese"
"281",13,76,"00307","Not well","Ilocano"
"282",13,74,"00307","Well","Ilocano"
"283",16,71,"00307","Very well","Ilocano"
"284",16,10,"00307","Well","Ilocano"
"285",16,42,"00307","Well","Filipino"
"286",18,40,"00307","Very well","Ilocano"
"287",19,38,"00307","Very well","Ilocano"
"288",16,37,"00307","Very well","Ilocano"
"289",13,14,"00307","Very well","Ilocano"
"290",15,68,"00307","Very well","Filipino"
"291",27,66,"00100","Very well","French"
"292",17,77,"00304","Not well","Korean"
"293",17,73,"00304","Not well","Korean"
"294",2,53,"00200","Very well","Hawaiian"
"295",2,56,"00200","Very well","Hawaiian"
"296",6,60,"00302","Very well","Hawaiian"
"297",6,53,"00302","Very well","Hebrew"
"298",11,56,"00200","Very well","Other English-based Creole languages"
"299",12,56,"00200","Very well","Other English-based Creole languages"
"300",19,54,"00306","Very well","Hawaiian"
"301",92,31,"00306","Very well","Italian"
"302",58,21,"00306","Very well","Spanish"
"303",9,40,"00303","Very well","Khmer"
"304",10,78,"00303","Well","Khmer"
"305",70,92,"00200","Not well","Japanese"
"306",71,72,"00200","Well","Japanese"
"307",25,61,"00308","Very well","Tagalog"
"308",30,56,"00308","Very well","Tagalog"
"309",4,53,"00100","Not well","Spanish"
"310",4,57,"00100","Very well","Spanish"
"311",26,39,"00306","Very well","Tagalog"
"312",23,37,"00306","Very well","Tagalog"
"313",19,8,"00306","Well","Tagalog"
"314",48,54,"00303","Very well","Mandarin"
"315",20,34,"00304","Very well","Japanese"
"316",21,35,"00304","Very well","Japanese"
"317",14,30,"00308","Very well","Tagalog"
"318",14,71,"00307","Well","Ilocano"
"319",73,55,"00308","Very well","Spanish"
"320",3,61,"00301","Very well","Hawaiian"
"321",14,85,"00307","Very well","Ilocano"
"322",3,53,"00100","Very well","Spanish"
"323",3,34,"00100","Very well","Spanish"
"324",18,56,"00306","Well","Korean"
"325",17,33,"00303","Very well","Cantonese"
"326",19,30,"00303","Very well","Vietnamese"
"327",28,29,"00303","Well","Japanese"
"328",10,68,"00306","Very well","Spanish"
"329",11,58,"00306","Very well","Hawaiian"
"330",13,48,"00307","Very well","Filipino"
"331",19,56,"00305","Not well","Ilocano"
"332",19,73,"00305","Very well","Ilocano"
"333",18,96,"00305","Well","Ilocano"
"334",5,70,"00200","Very well","Other English-based Creole languages"
"335",3,69,"00200","Very well","Other English-based Creole languages"
"336",44,74,"00302","Not well","Korean"
"337",11,85,"00303","Well","Korean"
"338",11,84,"00303","Not well","Korean"
"339",20,36,"00305","Very well","Filipino"
"340",20,8,"00305","Very well","Filipino"
"341",7,52,"00200","Very well","Hawaiian"
"342",15,67,"00307","Not well","Korean"
"343",22,76,"00305","Well","Chinese"
"344",5,43,"00200","Very well","Hawaiian"
"345",4,17,"00200","Very well","Hawaiian"
"346",4,13,"00200","Very well","Hawaiian"
"347",2,6,"00200","Very well","Hawaiian"
"348",19,54,"00301","Well","Tagalog"
"349",9,18,"00306","Very well","Spanish"
"350",16,36,"00304","Very well","Japanese"
"351",18,40,"00304","Well","Japanese"
"352",44,52,"00307","Very well","Vietnamese"
"353",16,77,"00302","Very well","Spanish"
"354",28,47,"00305","Very well","Ilocano"
"355",38,87,"00305","Not well","Ilocano"
"356",40,85,"00305","Not well","Ilocano"
"357",17,27,"00200","Very well","Hawaiian"
"358",4,64,"00301","Very well","Samoan"
"359",16,49,"00307","Very well","Ilocano"
"360",16,53,"00307","Very well","Ilocano"
"361",18,74,"00307","Very well","Tagalog"
"362",19,68,"00307","Well","Ilocano"
"363",19,40,"00307","Well","Tagalog"
"364",22,38,"00307","Very well","Tagalog"
"365",21,35,"00307","Well","Tagalog"
"366",22,35,"00307","Very well","Ilocano"
"367",19,34,"00307","Very well","Cebuano"
"368",19,29,"00307","Very well","Cebuano"
"369",17,28,"00307","Very well","Tagalog"
"370",20,24,"00307","Very well","Tagalog"
"371",4,76,"00200","Very well","Hawaiian"
"372",2,59,"00200","Very well","Hawaiian"
"373",21,26,"00306","Very well","Spanish"
"374",12,48,"00307","Very well","Ilocano"
"375",15,56,"00303","Not well","Vietnamese"
"376",17,53,"00303","Not well","Japanese"
"377",13,73,"00305","Not well","French"
"378",15,45,"00304","Very well","Tagalog"
"379",17,37,"00304","Very well","Tagalog"
"380",26,69,"00306","Very well","Ilocano"
"381",28,66,"00306","Very well","Ilocano"
"382",19,26,"00301","Very well","Spanish"
"383",24,24,"00301","Very well","Spanish"
"384",10,34,"00301","Very well","Hawaiian"
"385",47,45,"00305","Well","Vietnamese"
"386",53,38,"00305","Not well","Vietnamese"
"387",55,9,"00305","Well","Vietnamese"
"388",48,63,"00303","Not well","Cantonese"
"389",48,58,"00303","Not well","Cantonese"
"390",24,70,"00100","Very well","Spanish"
"391",26,63,"00304","Not well","Mandarin"
"392",32,96,"00304","Not at all","Mandarin"
"393",30,76,"00303","Well","Ilocano"
"394",11,33,"00301","Very well","Hawaiian"
"395",15,59,"00306","Very well","Filipino"
"396",24,70,"00304","Not well","Japanese"
"397",44,58,"00305","Very well","Japanese"
"398",12,53,"00308","Well","Filipino"
"399",17,71,"00308","Not well","Filipino"
"400",16,33,"00306","Very well","Spanish"
"401",9,42,"00306","Very well","Spanish"
"402",12,67,"00301","Well","Filipino"
"403",28,50,"00304","Very well","Japanese"
"404",41,62,"00303","Very well","Chuukese"
"405",61,33,"00303","Very well","Chuukese"
"406",63,48,"00303","Well","Chuukese"
"407",52,35,"00303","Very well","Chuukese"
"408",10,67,"00100","Well","Filipino"
"409",29,90,"00200","Very well","Japanese"
"410",30,84,"00200","Not well","Japanese"
"411",14,87,"00306","Well","Japanese"
"412",17,67,"00305","Not well","Cantonese"
"413",15,64,"00305","Not at all","Cantonese"
"414",29,65,"00304","Very well","Japanese"
"415",16,37,"00308","Very well","Ilocano"
"416",17,96,"00306","Well","Japanese"
"417",17,89,"00306","Not well","Japanese"
"418",21,59,"00308","Very well","Filipino"
"419",20,60,"00308","Very well","Other Philippine languages"
"420",28,29,"00308","Very well","Filipino"
"421",28,79,"00304","Well","Chinese"
"422",54,58,"00304","Well","Japanese"
"423",56,53,"00304","Very well","Japanese"
"424",25,72,"00305","Well","Vietnamese"
"425",23,29,"00305","Very well","Tagalog"
"426",29,32,"00305","Very well","Ilocano"
"427",5,11,"00200","Very well","Hawaiian"
"428",10,28,"00100","Very well","Filipino"
"429",6,24,"00100","Very well","Filipino"
"430",18,35,"00100","Very well","Filipino"
"431",12,19,"00100","Very well","Filipino"
"432",14,65,"00100","Not well","Filipino"
"433",13,65,"00100","Not well","Filipino"
"434",10,32,"00100","Well","Filipino"
"435",9,10,"00100","Very well","Filipino"
"436",32,31,"00308","Very well","Spanish"
"437",28,33,"00308","Very well","Spanish"
"438",14,65,"00304","Very well","Cantonese"
"439",8,56,"00307","Well","Japanese"
"440",9,91,"00307","Not at all","Japanese"
"441",10,90,"00307","Not well","Japanese"
"442",12,56,"00100","Well","Tagalog"
"443",12,56,"00100","Very well","Hawaiian"
"444",10,41,"00100","Well","Tagalog"
"445",26,46,"00301","Very well","Hawaiian"
"446",35,28,"00301","Well","Hawaiian"
"447",17,48,"00304","Not well","Japanese"
"448",17,27,"00304","Very well","Tagalog"
"449",16,45,"00304","Very well","Ilocano"
"450",15,85,"00305","Not at all","Cantonese"
"451",16,81,"00305","Not at all","Cantonese"
"452",18,52,"00305","Not well","Cantonese"
"453",53,43,"00305","Very well","Japanese"
"454",17,39,"00304","Very well","Japanese"
"455",3,50,"00200","Very well","Spanish"
"456",21,25,"00301","Very well","Tagalog"
"457",20,29,"00301","Very well","Korean"
"458",50,68,"00304","Very well","Spanish"
"459",18,46,"00305","Very well","Mandarin"
"460",25,44,"00305","Very well","Spanish"
"461",14,5,"00305","Very well","Mandarin"
"462",22,75,"00305","Not well","Filipino"
"463",22,75,"00305","Not well","Filipino"
"464",24,40,"00305","Very well","Japanese"
"465",23,42,"00308","Very well","Samoan"
"466",9,84,"00303","Very well","Cantonese"
"467",8,85,"00303","Very well","Cantonese"
"468",30,47,"00304","Well","Korean"
"469",31,45,"00304","Very well","Spanish"
"470",32,5,"00304","Not well","Spanish"
"471",50,42,"00302","Very well","Cantonese"
"472",16,96,"00301","Well","Japanese"
"473",12,42,"00301","Very well","Russian"
"474",28,10,"00301","Very well","Russian"
"475",24,61,"00301","Not well","Russian"
"476",15,50,"00100","Very well","Ilocano"
"477",30,27,"00200","Very well","Spanish"
"478",17,33,"00304","Very well","Tongan"
"479",15,59,"00303","Not well","Chinese"
"480",15,57,"00303","Not well","Chinese"
"481",27,25,"00303","Very well","Chinese"
"482",39,37,"00200","Very well","Japanese"
"483",17,74,"00303","Very well","German"
"484",8,33,"00100","Very well","Tagalog"
"485",27,34,"00306","Very well","Khmer"
"486",36,50,"00308","Very well","German"
"487",29,48,"00308","Very well","Japanese"
"488",6,46,"00200","Well","Spanish"
"489",5,12,"00200","Very well","Spanish"
"490",7,7,"00200","Well","Spanish"
"491",9,45,"00302","Very well","Spanish"
"492",52,65,"00306","Well","Spanish"
"493",13,52,"00306","Very well","Filipino"
"494",6,23,"00305","Well","Tagalog"
"495",11,33,"00305","Well","Cebuano"
"496",12,25,"00305","Well","Tagalog"
"497",10,21,"00305","Well","Tagalog"
"498",10,59,"00305","Not well","Tagalog"
"499",11,56,"00305","Not well","Tagalog"
"500",6,53,"00100","Very well","Ilocano"
"501",11,52,"00100","Very well","Ilocano"
"502",14,52,"00307","Very well","Japanese"
"503",27,38,"00304","Very well","Chinese"
"504",30,39,"00304","Very well","Chinese"
"505",17,62,"00304","Not well","Korean"
"506",12,58,"00307","Very well","Hawaiian"
"507",26,25,"00307","Very well","Hawaiian"
"508",15,91,"00303","Well","Japanese"
"509",21,69,"00305","Not well","Chinese"
"510",18,67,"00305","Well","Chinese"
"511",13,52,"00100","Very well","Thai"
"512",23,64,"00100","Not well","Thai"
"513",20,56,"00100","Very well","Tagalog"
"514",33,64,"00100","Well","Ilocano"
"515",52,41,"00100","Very well","Ilocano"
"516",31,32,"00100","Very well","Ilocano"
"517",46,20,"00100","Very well","Ilocano"
"518",28,9,"00100","Very well","Ilocano"
"519",39,31,"00100","Very well","Ilocano"
"520",15,61,"00307","Very well","Ilocano"
"521",15,66,"00306","Well","Japanese"
"522",27,41,"00308","Well","Tagalog"
"523",22,41,"00308","Well","Ilocano"
"524",26,40,"00308","Well","Tagalog"
"525",29,39,"00308","Not well","Tagalog"
"526",32,32,"00308","Well","Ilocano"
"527",24,58,"00308","Very well","Tagalog"
"528",28,52,"00308","Very well","Tagalog"
"529",14,56,"00306","Very well","Filipino"
"530",12,37,"00305","Very well","Hawaiian"
"531",11,13,"00305","Very well","Hawaiian"
"532",12,10,"00305","Very well","Hawaiian"
"533",12,7,"00305","Very well","Hawaiian"
"534",36,33,"00301","Very well","Other English-based Creole languages"
"535",15,25,"00305","Very well","Hawaiian"
"536",17,76,"00305","Well","Ilocano"
"537",17,67,"00305","Well","Ilocano"
"538",22,78,"00305","Very well","Ilocano"
"539",23,57,"00305","Well","Ilocano"
"540",16,82,"00304","Very well","French"
"541",31,96,"00303","Well","Japanese"
"542",7,40,"00200","Very well","Cantonese"
"543",15,45,"00304","Very well","Chinese"
"544",23,8,"00304","Not well","Chinese"
"545",22,6,"00304","Not well","Chinese"
"546",13,61,"00302","Very well","Japanese"
"547",17,39,"00301","Not well","Chuukese"
"548",17,29,"00301","Not well","Chuukese"
"549",12,12,"00301","Well","Chuukese"
"550",25,8,"00301","Well","Chuukese"
"551",16,44,"00301","Not at all","Chuukese"
"552",15,60,"00301","Very well","Chuukese"
"553",9,96,"00305","Very well","Chinese"
"554",23,55,"00200","Very well","Filipino"
"555",81,65,"00200","Very well","French"
"556",113,17,"00200","Very well","Russian"
"557",27,68,"00304","Very well","Japanese"
"558",14,79,"00307","Well","Japanese"
"559",99,31,"00200","Not well","Marshallese"
"560",46,8,"00200","Well","Marshallese"
"561",91,5,"00200","Not well","Marshallese"
"562",62,36,"00200","Very well","Marshallese"
"563",53,43,"00200","Very well","Spanish"
"564",9,5,"00306","Very well","Spanish"
"565",5,83,"00200","Very well","Hawaiian"
"566",3,84,"00200","Very well","Hawaiian"
"567",4,55,"00200","Very well","Hawaiian"
"568",14,85,"00305","Very well","Japanese"
"569",13,50,"00305","Well","Ilocano"
"570",21,52,"00308","Well","Spanish"
"571",15,87,"00100","Not well","Ilocano"
"572",13,42,"00304","Very well","Portuguese"
"573",30,45,"00306","Not well","Chuukese"
"574",28,47,"00306","Well","Chuukese"
"575",31,22,"00306","Well","Chuukese"
"576",33,5,"00306","Well","Chuukese"
"577",23,39,"00306","Very well","Japanese"
"578",27,12,"00306","Well","Japanese"
"579",20,10,"00306","Well","Japanese"
"580",20,5,"00306","Well","Japanese"
"581",11,25,"00306","Very well","Spanish"
"582",17,23,"00306","Very well","Spanish"
"583",15,32,"00307","Well","Tagalog"
"584",15,29,"00307","Very well","Tagalog"
"585",17,33,"00307","Well","Tagalog"
"586",17,26,"00307","Very well","Tagalog"
"587",17,11,"00307","Very well","Tagalog"
"588",17,53,"00307","Not at all","Tagalog"
"589",14,78,"00305","Not well","Korean"
"590",13,48,"00303","Very well","Japanese"
"591",18,27,"00307","Very well","Hawaiian"
"592",28,65,"00304","Very well","Chinese"
"593",14,91,"00303","Not well","Cantonese"
"594",13,44,"00301","Very well","Samoan"
"595",18,70,"00305","Well","Chinese"
"596",14,58,"00303","Very well","Japanese"
"597",14,16,"00303","Very well","Japanese"
"598",13,44,"00304","Well","Chinese"
"599",15,42,"00304","Very well","Chinese"
"600",12,53,"00302","Well","Korean"
"601",15,78,"00304","Very well","Japanese"
"602",15,80,"00304","Not well","Japanese"
"603",15,65,"00307","Very well","Korean"
"604",60,47,"00304","Very well","Mandarin"
"605",59,46,"00304","Well","Mandarin"
"606",73,15,"00304","Very well","Mandarin"
"607",15,67,"00308","Very well","Ilocano"
"608",13,63,"00308","Well","Ilocano"
"609",17,43,"00308","Well","Ilocano"
"610",17,39,"00308","Well","Ilocano"
"611",16,19,"00308","Very well","Ilocano"
"612",19,5,"00308","Not well","Ilocano"
"613",21,43,"00308","Not well","Ilocano"
"614",21,39,"00308","Very well","Ilocano"
"615",17,15,"00308","Well","Ilocano"
"616",6,69,"00200","Very well","Hawaiian"
"617",10,26,"00306","Very well","Spanish"
"618",14,25,"00306","Very well","Spanish"
"619",12,5,"00306","Very well","Spanish"
"620",54,77,"00200","Well","Japanese"
"621",7,28,"00301","Very well","Spanish"
"622",6,28,"00301","Very well","Korean"
"623",50,53,"00305","Well","Tagalog"
"624",55,51,"00305","Not well","Tagalog"
"625",9,50,"00305","Not well","Ilocano"
"626",8,46,"00305","Not well","Ilocano"
"627",9,22,"00305","Well","Ilocano"
"628",8,16,"00305","Well","Ilocano"
"629",12,60,"00305","Not at all","Chinese"
"630",13,56,"00305","Not well","Chinese"
"631",19,25,"00305","Very well","Chinese"
"632",18,29,"00200","Well","Hawaiian"
"633",74,45,"00304","Very well","Tagalog"
"634",25,47,"00307","Very well","Samoan"
"635",24,49,"00307","Very well","Samoan"
"636",16,50,"00306","Not well","Vietnamese"
"637",22,14,"00306","Well","Vietnamese"
"638",10,54,"00100","Well","Other Eastern Malayo-Polynesian languages"
"639",10,54,"00100","Well","Other Eastern Malayo-Polynesian languages"
"640",6,80,"00301","Very well","German"
"641",24,76,"00100","Not at all","Filipino"
"642",17,67,"00100","Not well","Ilocano"
"643",37,47,"00100","Not well","Ilocano"
"644",27,32,"00100","Very well","Filipino"
"645",33,15,"00100","Very well","Ilocano"
"646",26,13,"00100","Very well","Ilocano"
"647",25,9,"00100","Very well","Ilocano"
"648",25,7,"00100","Well","Ilocano"
